0 1 2 3 4 5 6 7 8 9 10
77 168 198 279 370 460 511 611 715 733 868
78 170 209 296 364 445 545 614 738 760 839
37 170 191 287 375 455 535 628 717 729 854
90 166 205 247 340 470 505 639 731 757 867
89 171 224 249 329 484 512 629 780 796 847
87 168 231 263 363 481 501 625 721 776 830
88 170 232 283 356 459 518 612 720 775 831
86 167 223 252 332 462 544 646 752 770 823
85 169 190 246 330 479 513 633 724 778 872
84 167 221 258 350 448 500 619 759 794 864
83 164 211 272 373 463 526 618 763 782 853
79 164 195 259 339 457 525 644 730 800 869
80 171 225 267 326 456 515 610 767 774 838
73 110 225 284 367 426 480 588 642 887 888
68 149 220 279 324 422 476 584 638 877 878
69 150 221 280 363 387 477 585 639 879 880
70 151 222 281 364 423 441 586 640 881 882
71 152 223 282 365 424 478 549 641 883 884
72 153 224 283 366 425 479 587 603 885 886
38 122 238 294 340 409 459 569 621 873 876
39 139 197 249 336 432 489 579 628 874 880
40 158 189 248 356 398 488 583 635 875 877
41 118 216 289 353 392 486 575 620 879 882
42 123 200 262 370 388 494 580 609 883 885
43 137 192 255 350 428 454 597 656 874 875
44 131 198 245 375 410 465 600 619 876 884
45 141 227 287 362 399 461 602 606 885 887
46 145 235 296 349 414 472 559 643 873 886
47 117 232 269 357 408 458 598 605 884 887
48 154 241 263 326 407 475 592 613 875 881
49 114 239 274 376 404 471 568 632 878 886
50 116 236 258 342 391 491 564 636 888 890
51 120 237 252 343 419 468 552 649 879 889
52 146 233 266 334 431 445 589 631 876 885
