0 1 2 3 4 5
66 1001 2209 2256 2298 2315
65 1002 2208 2255 2297 2314
58 1003 2206 2254 2300 2319
59 1004 2205 2253 2301 2321
60 1005 2204 2252 2302 2320
70 990 2194 2244 2290 2307
124 1054 2226 2338 2354 2418
127 1056 2229 2340 2357 2421
125 1057 2228 2341 2355 2419
126 1055 2227 2339 2356 2420
129 1058 2230 2342 2358 2422
139 1059 2231 2344 2360 2424
128 1060 2232 2343 2359 2423
131 1061 2241 2347 2363 2427
130 1062 2240 2348 2364 2428
137 1063 2236 2352 2362 2429
138 1064 2237 2353 2361 2430
133 1065 2238 2346 2365 2425
132 1066 2239 2345 2366 2426
136 1067 2235 2349 2368 2432
135 1068 2233 2350 2367 2431
134 1069 2234 2351 2369 2433
140 1038 2210 2322 2386 2434
141 1040 2213 2325 2387 2435
142 1041 2211 2324 2388 2436
143 1039 2212 2323 2389 2437
144 1042 2215 2326 2392 2438
145 1043 2214 2327 2390 2439
155 1044 2216 2328 2391 2440
147 1045 2221 2331 2399 2447
146 1046 2222 2332 2398 2446
148 1047 2217 2329 2396 2448
149 1048 2218 2330 2397 2449
150 1049 2219 2336 2401 2442
151 1050 2220 2337 2400 2441
153 1051 2223 2334 2394 2444
152 1052 2225 2335 2393 2445
154 1053 2224 2333 2395 2443
92 1022 2162 2274 2370 2466
94 1024 2163 2276 2372 2469
93 1025 2164 2277 2373 2468
95 1023 2165 2275 2371 2467
107 1026 2167 2279 2375 2472
96 1027 2168 2280 2376 2470
97 1028 2166 2278 2374 2471
101 1029 2171 2283 2382 2481
100 1030 2172 2284 2383 2480
103 1031 2176 2288 2377 2478
102 1032 2177 2289 2379 2479
104 1033 2175 2287 2378 2477
98 1034 2170 2285 2384 2473
99 1035 2169 2286 2385 2474
105 1036 2173 2282 2380 2475
106 1037 2174 2281 2381 2476
76 1007 2178 2258 2402 2451
79 1008 2181 2259 2405 2450
78 1009 2180 2260 2404 2453
77 1006 2179 2261 2403 2452
89 1010 2190 2270 2415 2460
88 1011 2188 2268 2417 2461
90 1012 2189 2269 2416 2462
81 1013 2183 2271 2407 2457
80 1014 2184 2273 2406 2459
91 1015 2182 2272 2408 2458
86 1016 2185 2267 2412 2463
85 1017 2186 2266 2413 2465
87 1018 2187 2265 2414 2464
83 1019 2191 2264 2411 2454
84 1020 2193 2263 2410 2455
82 1021 2192 2262 2409 2456
56 927 2101 2115 2130 2146
57 928 2098 2114 2133 2149
71 929 2100 2116 2132 2148
66 930 2102 2123 2140 2160
64 931 2103 2121 2142 2159
65 932 2104 2122 2141 2161
59 933 2108 2120 2134 2158
58 934 2110 2119 2135 2157
60 935 2109 2118 2136 2156
63 936 2113 2124 2139 2155
61 937 2112 2126 2138 2154
62 938 2111 2125 2137 2153
67 939 2105 2128 2145 2152
68 940 2106 2129 2143 2151
69 941 2107 2127 2144 2150
70 926 2099 2117 2131 2147
108 974 1938 1986 2050 2082
111 976 1941 1987 2052 2085
109 977 1939 1989 2053 2083
110 975 1940 1988 2051 2084
123 978 1942 1991 2054 2088
112 979 1944 1990 2056 2086
113 980 1943 1992 2055 2087
122 981 1947 1998 2064 2091
120 982 1948 1999 2063 2093
121 983 1949 1997 2065 2092
116 984 1951 1995 2062 2090
117 985 1950 1996 2061 2089
115 986 1946 1993 2059 2094
114 987 1945 1994 2060 2095
119 988 1952 2000 2057 2097
118 989 1953 2001 2058 2096
92 958 1922 1954 2018 2034
94 960 1925 1956 2019 2037
93 961 1923 1957 2021 2035
95 959 1924 1955 2020 2036
97 962 1928 1958 2024 2039
96 963 1926 1960 2022 2038
107 964 1927 1959 2023 2040
100 965 1935 1961 2030 2046
101 966 1934 1962 2029 2047
104 967 1930 1966 2031 2044
103 968 1929 1967 2033 2043
102 969 1931 1965 2032 2045
105 970 1936 1963 2027 2041
106 971 1937 1964 2028 2042
99 972 1932 1968 2026 2048
98 973 1933 1969 2025 2049
92 942 1906 1970 2002 2066
93 944 1909 1972 2005 2069
95 945 1907 1973 2003 2067
94 943 1908 1971 2004 2068
96 946 1911 1974 2007 2072
107 947 1910 1976 2006 2070
97 948 1912 1975 2008 2071
106 949 1920 1982 2009 2080
105 950 1921 1981 2010 2081
102 951 1918 1984 2012 2074
104 952 1919 1983 2013 2073
103 953 1917 1985 2011 2075
98 954 1916 1978 2017 2077
99 955 1915 1977 2016 2076
101 956 1913 1980 2014 2079
100 957 1914 1979 2015 2078
108 906 1826 1842 1858 1874
111 908 1827 1844 1861 1876
110 909 1829 1843 1860 1875
109 907 1828 1845 1859 1877
118 913 1836 1850 1867 1882
119 914 1837 1849 1868 1881
120 915 1835 1855 1870 1888
122 916 1833 1857 1871 1889
121 917 1834 1856 1869 1887
116 918 1840 1852 1872 1884
117 919 1841 1851 1873 1883
114 920 1838 1853 1865 1885
115 921 1839 1854 1866 1886
113 910 1830 1848 1864 1878
123 911 1831 1847 1863 1880
112 912 1832 1846 1862 1879
73 923 1894 1895 1900 1904
74 924 1893 1896 1901 1905
75 925 1892 1897 1902 1903
72 922 1890 1891 1898 1899
40 1602 1682 1698 1746 1778
43 1604 1685 1700 1748 1779
41 1605 1683 1701 1747 1780
42 1603 1684 1699 1749 1781
55 1606 1686 1704 1750 1782
44 1607 1688 1702 1752 1784
45 1608 1687 1703 1751 1783
46 1609 1693 1706 1755 1793
47 1610 1692 1705 1756 1792
48 1611 1696 1707 1758 1791
49 1612 1697 1708 1757 1790
50 1613 1695 1712 1754 1786
51 1614 1694 1713 1753 1785
52 1615 1691 1711 1761 1789
53 1616 1690 1710 1759 1788
54 1617 1689 1709 1760 1787
40 1538 1554 1570 1666 1794
41 1540 1555 1571 1668 1795
43 1541 1556 1572 1667 1796
42 1539 1557 1573 1669 1797
45 1542 1560 1575 1672 1799
55 1543 1558 1574 1670 1798
44 1544 1559 1576 1671 1800
50 1545 1565 1583 1679 1808
51 1546 1564 1582 1678 1809
54 1547 1562 1579 1677 1807
52 1548 1563 1580 1675 1806
53 1549 1561 1581 1676 1805
48 1550 1568 1584 1673 1804
49 1551 1569 1585 1674 1803
47 1552 1567 1577 1680 1802
46 1553 1566 1578 1681 1801
40 1522 1586 1634 1650 1762
42 1524 1589 1636 1653 1765
41 1525 1588 1637 1651 1764
43 1523 1587 1635 1652 1763
44 1526 1591 1638 1654 1767
45 1527 1590 1640 1656 1766
55 1528 1592 1639 1655 1768
49 1529 1595 1644 1664 1777
48 1530 1596 1645 1665 1776
52 1531 1599 1641 1659 1769
54 1532 1601 1642 1661 1770
53 1533 1600 1643 1660 1771
46 1534 1593 1646 1662 1774
47 1535 1594 1647 1663 1775
50 1536 1598 1648 1657 1772
51 1537 1597 1649 1658 1773
40 1506 1618 1714 1730 1810
43 1508 1620 1716 1732 1812
42 1509 1621 1717 1733 1813
41 1507 1619 1715 1731 1811
44 1510 1622 1718 1736 1815
55 1511 1624 1720 1735 1816
45 1512 1623 1719 1734 1814
46 1513 1630 1726 1741 1817
47 1514 1629 1727 1742 1818
53 1515 1631 1722 1743 1824
54 1516 1632 1723 1745 1823
52 1517 1633 1721 1744 1825
51 1518 1628 1725 1740 1821
50 1519 1627 1724 1739 1822
49 1520 1626 1728 1737 1820
48 1521 1625 1729 1738 1819
36 1443 1445 1458 1459 1491
36 1442 1444 1460 1461 1490
39 1446 1452 1465 1468 1495
37 1447 1453 1467 1469 1496
38 1448 1454 1466 1470 1497
37 1449 1456 1462 1473 1492
39 1450 1457 1463 1472 1493
38 1451 1455 1464 1471 1494
36 1427 1429 1475 1477 1499
36 1426 1428 1474 1476 1498
38 1430 1433 1479 1484 1504
37 1431 1435 1480 1485 1503
39 1432 1434 1478 1486 1505
39 1436 1439 1481 1489 1500
38 1437 1441 1482 1488 1501
37 1438 1440 1483 1487 1502
40 790 842 858 874 890
43 792 844 859 877 893
42 793 845 861 876 891
41 791 843 860 875 892
45 794 847 864 879 894
55 795 846 862 880 896
44 796 848 863 878 895
46 800 854 869 889 905
47 801 855 868 888 904
49 802 856 870 887 897
48 803 857 871 886 898
50 804 853 872 884 903
51 805 852 873 885 902
53 797 849 867 881 901
52 798 850 866 883 899
54 799 851 865 882 900
36 786 826 827 828 829
38 787 832 834 837 841
39 788 831 835 836 840
37 789 830 833 838 839
156 781 786 787 788 789
156 906 910 911 912 922
156 909 913 917 921 925
156 907 914 915 918 924
156 908 916 919 920 923
278 784 3893 3897 3904 3905
279 783 3890 3898 3899 3900
280 782 3891 3894 3895 3903
277 785 3892 3896 3901 3902
158 1328 3765 3767 3773 3774
159 1327 3762 3766 3768 3771
160 1329 3763 3769 3770 3776
157 1326 3764 3772 3775 3777
160 1506 2168 2741 2760 2776
157 1510 2162 2738 2758 2774
158 1511 2166 2739 2754 2775
159 1512 2167 2740 2759 2770
158 1516 2165 2748 2766 2777
158 1517 2173 2743 2764 2771
158 1507 2174 2749 2761 2784
159 1518 2163 2744 2769 2780
159 1521 2175 2742 2755 2785
159 1508 2176 2752 2768 2778
160 1515 2170 2753 2756 2782
160 1519 2171 2751 2762 2772
160 1520 2164 2746 2763 2783
157 1513 2172 2750 2757 2781
157 1514 2177 2745 2767 2773
157 1509 2169 2747 2765 2779
278 1891 2466 2472 3479 3480
277 1890 2470 2471 3474 3478
278 1895 2473 2476 3477 3481
279 1896 2478 2480 3475 3489
279 1897 2467 2481 3483 3486
280 1892 2474 2477 3476 3484
280 1893 2468 2475 3482 3485
277 1894 2469 2479 3487 3488
280 1810 1816 1899 3495 3496
279 1814 1815 1898 3490 3494
278 1813 1819 1903 3499 3502
278 1820 1825 1905 3491 3504
279 1811 1824 1900 3503 3505
280 1818 1821 1904 3492 3500
277 1812 1817 1901 3498 3501
277 1822 1823 1902 3493 3497
246 816 2462 3436 3457 3461
247 809 2464 3426 3449 3473
248 811 2450 3432 3447 3465
249 812 2463 3434 3454 3458
250 817 2458 3427 3448 3470
251 819 2451 3439 3456 3471
252 807 2460 3431 3442 3463
253 806 2452 3438 3453 3469
254 818 2457 3430 3450 3459
255 810 2454 3428 3455 3464
256 815 2465 3441 3443 3467
257 813 2459 3437 3444 3472
258 808 2456 3440 3446 3460
259 820 2461 3429 3452 3466
260 814 2453 3435 3451 3462
245 821 2455 3433 3445 3468
194 824 1496 1497 1499 1505
195 822 1492 1494 1498 1500
196 823 1490 1493 1503 1504
193 825 1491 1495 1501 1502
180 1794 2117 2424 3400 3848
177 1798 2114 2418 3398 3846
178 1799 2115 2422 3394 3847
179 1800 2116 2423 3399 3842
181 1797 2119 2430 3405 3853
182 1807 2128 2428 3407 3843
183 1808 2125 2431 3395 3857
184 1804 2122 2419 3402 3851
185 1802 2120 2427 3396 3849
186 1795 2127 2433 3401 3855
187 1809 2121 2426 3404 3844
188 1805 2126 2420 3408 3852
189 1803 2118 2432 3409 3845
190 1801 2129 2421 3403 3856
191 1796 2124 2425 3406 3850
192 1806 2123 2429 3397 3854
232 2149 2434 2728 3368 3880
229 2146 2438 2722 3366 3878
230 2147 2439 2726 3362 3879
231 2148 2440 2727 3367 3874
233 2157 2441 2736 3365 3885
234 2161 2435 2730 3372 3881
235 2153 2443 2723 3374 3887
236 2152 2449 2731 3377 3875
237 2154 2436 2733 3376 3884
238 2158 2448 2724 3370 3883
239 2159 2447 2735 3373 3876
240 2150 2445 2729 3363 3888
241 2156 2444 2734 3371 3877
242 2151 2437 2737 3369 3886
243 2160 2442 2725 3375 3889
244 2155 2446 2732 3364 3882
216 2133 2706 3384 3416 3832
213 2130 2710 3378 3414 3830
214 2131 2711 3382 3410 3831
215 2132 2712 3383 3415 3826
217 2139 2718 3388 3413 3833
