0 1 2 3 4
198 774 887 1145 1347
199 766 890 1139 1353
200 778 885 1131 1353
201 779 883 1134 1352
202 775 880 1137 1354
203 763 896 1144 1350
204 765 895 1146 1351
205 768 892 1147 1348
188 769 886 1140 1349
189 770 884 1138 1351
190 773 894 1148 1352
191 777 891 1143 1355
192 764 881 1136 1347
193 767 882 1133 1348
251 618 1059 1077 1329
252 629 1070 1086 1341
257 627 1060 1085 1339
258 628 1069 1078 1340
259 634 1062 1084 1336
260 623 1075 1092 1332
261 635 1067 1080 1345
262 619 1071 1090 1333
263 622 1073 1081 1338
264 633 1065 1087 1330
265 621 1068 1094 1337
266 630 1076 1079 1334
253 625 1066 1083 1335
254 631 1074 1093 1343
255 632 1072 1091 1342
256 620 1061 1082 1331
267 624 1064 1089 1344
268 626 1063 1088 1346
225 685 1105 1123 1345
224 684 1106 1124 1346
230 672 1103 1119 1342
231 681 1096 1120 1343
232 682 1095 1121 1344
233 683 1104 1122 1329
234 673 1110 1126 1335
235 677 1109 1129 1334
236 678 1112 1114 1337
237 689 1101 1128 1331
238 687 1108 1116 1333
239 675 1102 1118 1338
240 679 1098 1127 1341
241 680 1097 1130 1339
226 686 1107 1125 1336
227 688 1111 1117 1340
228 676 1099 1115 1332
229 674 1100 1113 1330
197 526 735 991 1328
196 525 734 990 1327
194 536 726 995 1326
195 541 732 989 1324
198 540 742 981 1325
199 535 739 984 1323
200 528 738 987 1325
201 530 736 988 1326
202 542 727 983 1327
203 531 741 994 1324
204 534 743 992 1323
205 538 733 978 1328
192 529 729 979 1323
189 532 731 982 1325
188 533 730 985 1326
191 537 740 986 1328
190 539 737 993 1327
193 527 728 980 1324
315 552 878 909 995
314 551 877 910 994
320 544 875 907 992
321 543 876 908 993
322 545 875 901 989
323 560 871 912 981
324 558 872 914 980
325 547 874 899 990
326 546 873 913 985
327 553 871 900 988
328 556 870 897 986
329 548 877 906 979
330 559 878 898 982
331 554 874 902 978
316 549 872 903 984
317 550 870 904 983
318 555 876 911 991
319 557 873 905 987
287 525 609 744 1275
288 538 617 751 1283
295 526 614 748 1280
296 535 609 749 1281
297 536 615 744 1282
298 537 616 750 1275
293 529 611 752 1279
294 531 610 751 1281
299 527 613 750 1277
300 532 616 752 1276
301 533 613 745 1278
302 528 617 747 1282
292 530 610 746 1276
289 534 612 747 1277
290 540 614 749 1278
291 541 615 748 1279
303 539 611 745 1283
304 542 612 746 1280
269 543 753 861 1257
270 556 761 869 1270
277 544 758 866 1267
278 553 753 867 1268
279 554 759 861 1269
280 555 760 868 1258
275 557 757 865 1260
276 551 760 862 1262
281 549 757 862 1263
282 545 761 864 1272
283 552 754 865 1265
284 560 756 863 1271
271 546 755 863 1259
272 548 756 864 1261
273 558 759 866 1264
274 559 758 867 1266
285 547 755 869 1273
286 550 754 868 1274
251 507 969 996 1258
252 518 976 1004 1274
259 508 973 1001 1271
260 515 969 1002 1272
261 516 974 996 1273
262 517 975 1003 1257
257 512 977 1000 1266
258 514 976 997 1268
263 519 971 998 1264
264 524 970 999 1267
265 520 975 1000 1259
266 521 977 998 1261
256 510 970 997 1260
253 513 972 999 1262
255 522 973 1002 1263
254 523 974 1001 1265
267 511 971 1003 1270
268 509 972 1004 1269
224 520 588 738 822
